epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.199,1.5337,4.30125,1.79233,0.62147,0.16077,0.11394,0.05896,1.53404,3.50162,2.00359,0.00333114,0.00333114,0.00333114
2,1065.06,1.50915,3.18469,1.70642,0.48953,0.18684,0.143,0.07154,1.61712,2.97807,2.06672,0.00659849,0.00659849,0.00659849
3,1595.91,1.60168,3.17443,1.75949,0.57524,0.13571,0.09258,0.04303,1.78349,3.22296,2.19621,0.00979985,0.00979985,0.00979985
4,2120.77,1.66507,3.21548,1.80051,0.56949,0.16793,0.12707,0.05973,1.72571,2.91889,2.12696,0.009703,0.009703,0.009703
5,2648.99,1.632,3.04573,1.75782,0.54555,0.19357,0.14856,0.07456,1.70425,2.60129,2.0818,0.009604,0.009604,0.009604
6,3173.19,1.59807,2.87893,1.72211,0.44903,0.22876,0.17189,0.09205,1.63308,2.4111,2.00954,0.009505,0.009505,0.009505
7,3694.5,1.56499,2.74509,1.70021,0.62123,0.22082,0.20184,0.11095,1.56828,2.31445,1.94678,0.009406,0.009406,0.009406
8,4217.59,1.54505,2.63091,1.68088,0.50269,0.29238,0.2379,0.12522,1.6016,2.16357,1.9505,0.009307,0.009307,0.009307
9,4737.82,1.52689,2.57468,1.66723,0.58161,0.27449,0.26293,0.14584,1.54113,2.12357,1.90333,0.009208,0.009208,0.009208
10,5257.43,1.51832,2.49691,1.65545,0.43844,0.35089,0.2898,0.16147,1.53794,2.00188,1.89483,0.009109,0.009109,0.009109
11,5778.85,1.50079,2.43293,1.64314,0.46456,0.34881,0.31015,0.17437,1.54319,1.95821,1.89443,0.00901,0.00901,0.00901
12,6298.72,1.49438,2.37739,1.631,0.40563,0.37267,0.31442,0.18397,1.48695,1.95725,1.84857,0.008911,0.008911,0.008911
13,6818.42,1.47461,2.33577,1.6199,0.4954,0.3716,0.32,0.18021,1.51378,1.91618,1.86251,0.008812,0.008812,0.008812
14,7339.22,1.4655,2.25799,1.61101,0.46067,0.38746,0.33925,0.19552,1.48606,1.80918,1.83456,0.008713,0.008713,0.008713
15,7858.68,1.45166,2.23943,1.60072,0.35022,0.45411,0.36259,0.20898,1.4854,1.79575,1.8314,0.008614,0.008614,0.008614
16,8378.13,1.44569,2.19043,1.59165,0.4147,0.42599,0.35593,0.20688,1.48267,1.76777,1.82853,0.008515,0.008515,0.008515
17,8898.19,1.45123,2.181,1.59263,0.42029,0.40895,0.37236,0.21425,1.46452,1.72228,1.81429,0.008416,0.008416,0.008416
18,9417.23,1.44055,2.15201,1.58528,0.37136,0.44629,0.37504,0.21855,1.4649,1.67389,1.8135,0.008317,0.008317,0.008317
19,9936.14,1.42344,2.11231,1.57545,0.3902,0.43726,0.38786,0.22581,1.45998,1.65052,1.80477,0.008218,0.008218,0.008218
20,10462.4,1.41519,2.08338,1.57226,0.43953,0.45407,0.40469,0.23837,1.4526,1.61153,1.79471,0.008119,0.008119,0.008119
21,10989,1.40918,2.05921,1.57317,0.45395,0.44557,0.41524,0.24566,1.44077,1.59229,1.78708,0.00802,0.00802,0.00802
22,11515.1,1.39442,2.00668,1.55525,0.45229,0.44896,0.42234,0.25142,1.44821,1.58605,1.78946,0.007921,0.007921,0.007921
23,12040,1.39512,2.00732,1.55225,0.43751,0.47418,0.43035,0.25904,1.43145,1.57895,1.77708,0.007822,0.007822,0.007822
24,12566.6,1.39531,1.97589,1.55121,0.39253,0.52102,0.43138,0.25822,1.4378,1.54279,1.76849,0.007723,0.007723,0.007723
